2023-12-15|09:45:00|Groceries for the week|Trader Joe's|$75.20
2023-12-03|02:30:00|Dinner with friends|Italian Bistro|$46.60
2023-12-05|08:00:00|Monthly rent|Home Rentals, Inc|$1,200.00
2023-12-08|12:45:35|Fuel refill|Gas 'n Go|$40.25
2023-12-10|03:00:00|Clothes Shopping|Zara|$120.50
2023-12-15|04:15:20:Dinner at a fancy restaurant|Gourmet Delights|$85.75
2023-12-18|11:00:00| Movie night with family|Amc Regal|$32.00
2023-12-20|07:20:00|Home utility bills|Utility Co.|$90.00
2023-12-20|09:30:00|Internet bill|ConnectNet|$55.99
2023-12-22|02:15;00|Books and stationery|Barnes and Noble|$68.25
2023-11-09|09:30:00|Freelance Payment|Client,LLc|$800
2023-11-16|03:00:00|Investment dividend|Investment Firm|$150
2023-11-19|01:00:00|Gift from family member|Family|$1,000
2023-11-24|08:45:00|Work bonus|Employer, Inc|$1.500
2023-11-29|05:15:20|Reimbursement from work expenses|Employer,Inc|$950
2023-10-26|03:45:15|Home maintenance|Handyman Services|$200
2023-10-28|09:00:00|Party supplies|Party City|$60.65
2023-10-29|11:15:00|Tax Refund|Government|1,700
2023-10-30|12:30:00|Lunch with colleagues|Cafe Mocha|$12.40
2023-10-30|04:45:00|Charity Donation|Palestine Relief Fund|$1,000